Name,Scientific_Name,Pop_Global,Pop_US_Canada,Pop_Canada,Pop_USA,Max_NA_Pop
Plain Chachalaca,Ortalis vetula,2000000,2500,0,0,2500
Mountain Quail,Oreortyx pictus,260000,250000,0,250000,250000
Northern Bobwhite,Colinus virginianus,5800000,4400000,0,0,4400000
Scaled Quail,Callipepla squamata,5100000,2400000,0,2400000,2400000
California Quail,Callipepla californica,5800000,3400000,140000,3200000,3400000
Gambel's Quail,Callipepla gambelii,5800000,5200000,0,5200000,5200000
Montezuma Quail,Cyrtonyx montezumae,1500000,300000,0,300000,300000
Chukar,Alectoris chukar,7800000,390000,2600,390000,390000
Gray Partridge,Perdix perdix,8200000,820000,440000,390000,820000
Ring-necked Pheasant,Phasianus colchicus,56000000,17000000,330000,16000000,17000000
Ruffed Grouse,Bonasa umbellus,18000000,18000000,0,0,18000000
Greater Sage-Grouse,Centrocercus urophasianus,430000,430000,0,0,430000
Gunnison Sage-Grouse,Centrocercus minimus,4800,4800,0,0,4800
Spruce Grouse,Falcipennis canadensis,11000000,11000000,0,0,11000000
Willow Ptarmigan,Lagopus lagopus,43000000,13000000,6400000,6400000,13000000
Rock Ptarmigan,Lagopus muta,8000000,4000000,3400000,590000,4000000
White-tailed Ptarmigan,Lagopus leucura,2000000,2000000,0,0,2000000
Dusky Grouse,Dendragapus obscurus,300000,300000,0,0,300000
Sooty Grouse,Dendragapus fuliginosus,2000000,2000000,0,0,2000000
Sharp-tailed Grouse,Tympanuchus phasianellus,760000,760000,310000,450000,760000
Greater Prairie-Chicken,Tympanuchus cupido,360000,360000,0,360000,360000
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,28000,28000,0,0,28000
Wild Turkey,Meleagris gallopavo,6900000,6700000,0,0,6700000
Rock Pigeon,Columba livia,140000000,16000000,4200000,12000000,16000000
White-crowned Pigeon,Patagioenas leucocephala,550000,12000,0,0,12000
Red-billed Pigeon,Patagioenas flavirostris,2000000,500,0,0,500
Band-tailed Pigeon,Patagioenas fasciata,6100000,1500000,300000,1200000,1500000
Eurasian Collared-Dove,Streptopelia decaocto,85000000,8700000,150000,8600000,8700000
Inca Dove,Columbina inca,4700000,620000,0,620000,620000
Common Ground-Dove,Columbina passerina,36000000,2000000,0,2000000,2000000
White-tipped Dove,Leptotila verreauxi,20000000,10000,0,0,10000
White-winged Dove,Zenaida asiatica,14000000,5200000,0,5200000,5200000
Mourning Dove,Zenaida macroura,150000000,130000000,6600000,130000000,130000000
Yellow-billed Cuckoo,Coccyzus americanus,9600000,8400000,11000,8300000,8400000
Mangrove Cuckoo,Coccyzus minor,200000,2400,0,2400,2400
Black-billed Cuckoo,Coccyzus erythropthalmus,890000,880000,490000,380000,880000
Greater Roadrunner,Geococcyx californianus,1400000,840000,0,840000,840000
Smooth-billed Ani,Crotophaga ani,20000000,50,0,0,50
Groove-billed Ani,Crotophaga sulcirostris,2000000,28000,0,28000,28000
Lesser Nighthawk,Chordeiles acutipennis,14000000,3800000,0,3800000,3800000
Common Nighthawk,Chordeiles minor,23000000,22000000,1500000,20000000,22000000
Antillean Nighthawk,Chordeiles gundlachii,200000,50,0,0,50
Common Pauraque,Nyctidromus albicollis,20000000,5000,0,0,5000
Common Poorwill,Phalaenoptilus nuttallii,1700000,1300000,2700,1300000,1300000
Chuck-will's-widow,Antrostomus carolinensis,5700000,5600000,0,5600000,5600000
Buff-collared Nightjar,Antrostomus ridgwayi,2000000,50,0,0,50
Eastern Whip-poor-will,Antrostomus vociferus,1800000,1800000,140000,1700000,1800000
Mexican Whip-poor-will,Antrostomus arizonae,320000,54000,0,54000,54000
Black Swift,Cypseloides niger,170000,89000,79000,9100,89000
Chimney Swift,Chaetura pelagica,8800000,8800000,74000,8700000,8800000
Vaux's Swift,Chaetura vauxi,870000,420000,120000,300000,420000
White-throated Swift,Aeronautes saxatalis,3200000,2400000,23000,2400000,2400000
Rivoli's Hummingbird,Eugenes fulgens,2000000,5000,0,0,5000
Blue-throated Hummingbird,Lampornis clemenciae,2000000,2000,0,0,2000
Lucifer Hummingbird,Calothorax lucifer,200000,5000,0,0,5000
Ruby-throated Hummingbird,Archilochus colubris,36000000,36000000,6100000,30000000,36000000
Black-chinned Hummingbird,Archilochus alexandri,8800000,8200000,200000,8000000,8200000
Anna's Hummingbird,Calypte anna,9600000,8800000,120000,8600000,8800000
Costa's Hummingbird,Calypte costae,3400000,1600000,0,1600000,1600000
Broad-tailed Hummingbird,Selasphorus platycercus,9800000,8800000,0,8800000,8800000
Rufous Hummingbird,Selasphorus rufus,22000000,22000000,12000000,9300000,22000000
Allen's Hummingbird,Selasphorus sasin,1500000,1500000,0,1500000,1500000
Calliope Hummingbird,Selasphorus calliope,4500000,4500000,1400000,3000000,4500000
Broad-billed Hummingbird,Cynanthus latirostris,2200000,230000,0,230000,230000
Buff-bellied Hummingbird,Amazilia yucatanensis,610000,110000,0,110000,110000
Violet-crowned Hummingbird,Amazilia violiceps,2000000,200,0,0,200
Black Vulture,Coragyps atratus,200000000,1900000,0,1900000,1900000
Turkey Vulture,Cathartes aura,28000000,8400000,210000,8200000,8400000
California Condor,Gymnogyps californianus,290,250,0,0,250
Osprey,Pandion haliaetus,1200000,400000,170000,230000,400000
White-tailed Kite,Elanus leucurus,260000,16000,0,16000,16000
Hook-billed Kite,Chondrohierax uncinatus,200000,50,0,0,50
Swallow-tailed Kite,Elanoides forficatus,260000,7500,0,7500,7500
Golden Eagle,Aquila chrysaetos,130000,63000,23000,40000,63000
Northern Harrier,Circus hudsonius,820000,820000,300000,520000,820000
Sharp-shinned Hawk,Accipiter striatus,1000000,410000,240000,160000,410000
Cooper's Hawk,Accipiter cooperii,1000000,840000,54000,790000,840000
Northern Goshawk,Accipiter gentilis,420000,210000,86000,120000,210000
Bald Eagle,Haliaeetus leucocephalus,200000,200000,0,0,200000
Mississippi Kite,Ictinia mississippiensis,700000,700000,0,700000,700000
Snail Kite,Rostrhamus sociabilis,2000000,2100,0,0,2100
Common Black Hawk,Buteogallus anthracinus,2000000,2000,0,0,2000
Harris's Hawk,Parabuteo unicinctus,920000,52000,0,52000,52000
White-tailed Hawk,Geranoaetus albicaudatus,2000000,10000,0,0,10000
Gray Hawk,Buteo plagiatus,2000000,2000,0,0,2000
Red-shouldered Hawk,Buteo lineatus,1900000,1800000,9600,1800000,1800000
Broad-winged Hawk,Buteo platypterus,1900000,1800000,820000,980000,1800000
Swainson's Hawk,Buteo swainsoni,900000,820000,190000,640000,820000
Zone-tailed Hawk,Buteo albonotatus,2000000,6200,0,6200,6200
Red-tailed Hawk,Buteo jamaicensis,3100000,2800000,680000,2100000,2800000
Rough-legged Hawk,Buteo lagopus,590000,300000,240000,57000,300000
Ferruginous Hawk,Buteo regalis,110000,110000,22000,87000,110000
Barn Owl,Tyto alba,3600000,130000,0,130000,130000
Flammulated Owl,Psiloscops flammeolus,5500,4900,0,4900,4900
Western Screech-Owl,Megascops kennicottii,310000,240000,0,240000,240000
Eastern Screech-Owl,Megascops asio,560000,500000,8700,490000,500000
Whiskered Screech-Owl,Megascops trichopsis,200000,500,0,0,500
Great Horned Owl,Bubo virginianus,5700000,3800000,780000,3000000,3800000
Snowy Owl,Bubo scandiacus,30000,30000,0,0,30000
Northern Hawk Owl,Surnia ulula,190000,93000,43000,49000,93000
Northern Pygmy-Owl,Glaucidium gnoma,180000,130000,67000,62000,130000
Ferruginous Pygmy-Owl,Glaucidium brasilianum,20000000,1000,0,0,1000
Elf Owl,Micrathene whitneyi,72000,46000,0,46000,46000
Burrowing Owl,Athene cunicularia,18000000,990000,3700,980000,990000
Spotted Owl,Strix occidentalis,15000,10000,0,0,10000
Barred Owl,Strix varia,3500000,3500000,330000,3100000,3500000
Great Gray Owl,Strix nebulosa,140000,71000,61000,11000,71000
Long-eared Owl,Asio otus,130000,38000,20000,17000,38000
Short-eared Owl,Asio flammeus,2300000,600000,280000,330000,600000
Boreal Owl,Aegolius funereus,1540000,500000,0,0,500000
Northern Saw-whet Owl,Aegolius acadicus,2000000,2000000,0,0,2000000
Elegant Trogon,Trogon elegans,200000,500,0,0,500
Ringed Kingfisher,Megaceryle torquata,20000000,500,0,0,500
Belted Kingfisher,Megaceryle alcyon,1900000,1800000,1000000,830000,1800000
Green Kingfisher,Chloroceryle americana,20000000,5000,0,0,5000
Lewis's Woodpecker,Melanerpes lewis,82000,82000,4000,78000,82000
Red-headed Woodpecker,Melanerpes erythrocephalus,1800000,1800000,14000,1800000,1800000
Acorn Woodpecker,Melanerpes formicivorus,7500000,2200000,0,2200000,2200000
Gila Woodpecker,Melanerpes uropygialis,1500000,590000,0,590000,590000
Golden-fronted Woodpecker,Melanerpes aurifrons,5300000,810000,0,810000,810000
Red-bellied Woodpecker,Melanerpes carolinus,16000000,16000000,28000,15000000,16000000
Williamson's Sapsucker,Sphyrapicus thyroideus,300000,290000,620,290000,290000
